text,sentiment
seperti apakah peraturan permainan batu gunting kertas,peraturan
apakah ada aturan mainnya,peraturan
bagaimana cara bermainnya,peraturan
apakah ada ketentuan bermain,peraturan
saya ingin tahu aturan permainan,peraturan
saya tidak tahu cara bermainnya,peraturan
bagaimana saya bisa memenangkan permainan ini,peraturan
siapa saja yang boleh bermain,peraturan
apakah permainan ini hanya untuk satu orang saja,peraturan
berikan saya gambaran terkait permainan ini,peraturan
halo,perkenalan
hi,perkenalan
apa kabar,perkenalan
hai,perkenalan
siapa kamu,perkenalan
perkenalkan diri kamu,perkenalan
hai libra,perkenalan
hei,perkenalan
halo libra,perkenalan
assalamualaikum,perkenalan
selamat pagi,perkenalan
selamat malam,perkenalan
permisi,perkenalan
siang libra,perkenalan
siapa yang membuat permainan ini,aboutus
apakah permainan ini dibuat oleh mahasiswa,aboutus
siapa saja yang berkontribusi dalam membuat permainan ini,aboutus
infokan orang yang membuat permainan ini,aboutus
siapa kontributor dalam permainan ini,aboutus
bagaimana asal usul permainan rock paper scissors,aboutus
bagaimana rekap permainan rock paper scissors ini dibuat,aboutus
apakah ada informasi terkait pencipta game,aboutus
berikan informasi terkait pencipta permainan,aboutus
saya ingin tahu siapa yang membuat game ini,aboutus
apa tujuan dari permainan ini,tujuan
apakah konsep awal dari menciptakan permainan ini,tujuan
untuk apa permainan ini dibuat,tujuan
apa manfaat dari permainan ini,tujuan
apa gunanya permainan ini,tujuan
kenapa permainan ini dibuat,tujuan
mengapa permainan ini dibuat,tujuan
saya penasaran kenapa game ini dibuat,tujuan